Image ID,Resolution Category,Size (KB),Time Taken (ms),TrialNum,Method,Filters
12,1080p,279,438.00,3,JS,GaussianBlur
12,1080p,279,143.70,3,WASM,GaussianBlur
12,1080p,279,424.60,4,JS,GaussianBlur
12,1080p,279,146.70,4,WASM,GaussianBlur
12,1080p,279,434.50,5,JS,GaussianBlur
12,1080p,279,141.00,5,WASM,GaussianBlur
12,1080p,279,415.60,6,JS,GaussianBlur
12,1080p,279,150.70,6,WASM,GaussianBlur
12,1080p,279,429.50,7,JS,GaussianBlur
12,1080p,279,151.60,7,WASM,GaussianBlur
12,1080p,279,429.30,8,JS,GaussianBlur
12,1080p,279,141.90,8,WASM,GaussianBlur
12,1080p,279,433.10,9,JS,GaussianBlur
12,1080p,279,139.60,9,WASM,GaussianBlur
12,1080p,279,422.40,10,JS,GaussianBlur
12,1080p,279,141.80,10,WASM,GaussianBlur
13,1080p,424,430.60,1,JS,GaussianBlur
13,1080p,424,145.10,1,WASM,GaussianBlur
13,1080p,424,419.40,2,JS,GaussianBlur
13,1080p,424,142.90,2,WASM,GaussianBlur
13,1080p,424,436.80,3,JS,GaussianBlur
13,1080p,424,143.50,3,WASM,GaussianBlur
13,1080p,424,425.90,4,JS,GaussianBlur
13,1080p,424,142.60,4,WASM,GaussianBlur
13,1080p,424,452.30,5,JS,GaussianBlur
13,1080p,424,139.60,5,WASM,GaussianBlur
13,1080p,424,424.60,6,JS,GaussianBlur
13,1080p,424,141.00,6,WASM,GaussianBlur
13,1080p,424,440.20,7,JS,GaussianBlur
13,1080p,424,142.10,7,WASM,GaussianBlur
13,1080p,424,427.10,8,JS,GaussianBlur
13,1080p,424,140.10,8,WASM,GaussianBlur
13,1080p,424,425.20,9,JS,GaussianBlur
13,1080p,424,145.20,9,WASM,GaussianBlur
13,1080p,424,431.80,10,JS,GaussianBlur
13,1080p,424,142.50,10,WASM,GaussianBlur
14,1080p,329,428.10,1,JS,GaussianBlur
14,1080p,329,145.80,1,WASM,GaussianBlur
14,1080p,329,439.50,2,JS,GaussianBlur
14,1080p,329,141.70,2,WASM,GaussianBlur
14,1080p,329,426.10,3,JS,GaussianBlur
14,1080p,329,145.80,3,WASM,GaussianBlur
14,1080p,329,434.10,4,JS,GaussianBlur
14,1080p,329,144.70,4,WASM,GaussianBlur
14,1080p,329,420.90,5,JS,GaussianBlur
14,1080p,329,142.50,5,WASM,GaussianBlur
14,1080p,329,438.00,6,JS,GaussianBlur
14,1080p,329,143.80,6,WASM,GaussianBlur
14,1080p,329,428.30,7,JS,GaussianBlur
14,1080p,329,138.90,7,WASM,GaussianBlur
14,1080p,329,444.70,8,JS,GaussianBlur
